"Story","Title","Result","Date","Stability","Duration (s)"
"Game get test","Getting all jackpot Information","SUCCESS","2023-06-17T22:42:09.782+01:00[Europe/London]","0.0","7.02"
"Game get test","Verify if currency is GBP","SUCCESS","2023-06-17T22:42:16.849+01:00[Europe/London]","0.0","1.33"
